year,performance,gender,subject
2019,85,Male,Math
2019,90,Female,Math
2019,78,Male,Science
2019,92,Female,Science
2019,88,Female,Math
2020,89,Male,Math
2020,92,Female,Math
2020,76,Female,Science
2020,94,Male,Science
2020,85,Female,Math
2021,45,Male,Math
2021,34,Female,Math
2021,66,Female,Science
2021,90,Male,Science
2021,25,Female,Math
2022,45,Male,Math
2022,92,Female,Math
2022,53,Female,Science
2022,94,Male,Science
2022,67,Female,Math
2023,56,Male,Math
2023,45,Female,Math
2023,56,Female,Science
2023,89,Male,Science
2023,45,Female,Math
2024,43,Male,Math
2024,22,Male,Math
2024,77,Male,Science
2024,90,Male,Science
2024,12,Female,Math
